"","address","lat","lon"
"56","CAMINO A LA PIEDRERA y CAMINO A LAS MESITAS,AMPLIACION SANTA LUCIA,Zapopan",20.7262532,-103.3830009
"57","CAMINO A LA PIEDRERA y CAMINO A LAS MESITAS,AMPLIACION SANTA LUCIA,Zapopan",20.7262532,-103.3830009
"58","PALOMA y VENUSTIANO CARRANZA,VALLE DE NUEVO MEXICO,Zapopan",20.7552947,-103.4358244
"59","LIC. SILVANO BARBA GONZALEZ y AND. NTE. 3,CONJUNTO LAURELES,Zapopan",20.7330311,-103.3872506
"60","JOSE MARIA MARTINEZ y PIPILA,MARTINICA LA,Zapopan",20.6719563,-103.416501
"61","AV. TEPEYAC y AV. DE LA PATRIA,MIRADOR DEL SOL,Zapopan",20.6564784,-103.4216452
"62","ANAHUAC y SAN FRANCISCO DE SALES,SAN ISIDRO EJIDAL,Zapopan",20.7278032,-103.3966385
"63","ANAHUAC y SAN FRANCISCO DE SALES,SAN ISIDRO EJIDAL,Zapopan",20.7278032,-103.3966385
"64","TUL y OZTOTL,MESA COLORADA PONIENTE,Zapopan",20.7713611,-103.3453688
"65","PARRAL  y OCAMPO,SAN JUAN DE OCOTAN,Zapopan",20.6719563,-103.416501
"66","CARR. A NOGALES y CARR. A NEXTIPAC,VENTA DEL ASTILLERO LA,Zapopan",20.6719563,-103.416501
"67","CARR. A NOGALES y CARR. A NEXTIPAC,VENTA DEL ASTILLERO LA,Zapopan",20.6719563,-103.416501
"68","AV. ADOLFO LOPEZ MATEOS y 12 DE DICIEMBRE,FUERA DEL MUNICIPIO,Zapopan",20.6719563,-103.416501
"69","SERBIA y MACEDONIA,LOMA BLANCA,Zapopan",20.7142039,-103.3888546
"70","SANTA LAURA y PERIFERICO,SANTA MARGARITA,Zapopan",20.7401426,-103.3874468
"71","LIC. FELIX PALAVICINI y RAFAEL VEGA SANCHEZ,CONSTITUCION,Zapopan",20.729735,-103.368837
"72","PROL. MARIANO OTERO y FRANCISCO I. MADERO,ARENALES TAPATIOS,Zapopan",20.6292253,-103.4552577
"73","EJIDO DEL COLLI y ZINAPECUARO,VOLCAN DEL COLLI,Zapopan",20.6614511,-103.4551257
"74","RAFAEL VEGA SANCHEZ y LIC. FELIX PALAVICINI,CONSTITUCION,Zapopan",20.7307649,-103.3612148
"75","AV. DE LA PATRIA y BLVR. PUERTA DE HIERRO,PLAZA ANDARES,Zapopan",20.7104951,-103.412672
"76","QUIRIGUA y TECON,GUSTAVO DIAZ ORDAZ,Zapopan",20.6205536,-103.4218804
"77","HIDALGO y OCAMPO,SAN JUAN DE OCOTAN,Zapopan",20.6719563,-103.416501
"78","HIDALGO y OCAMPO,SAN JUAN DE OCOTAN,Zapopan",20.6719563,-103.416501
"79","AV. SAN CRISTOBAL MAGALLANES y AV. COPALA,LOMAS DE SAN GONZALO,Zapopan",20.7060443,-103.4109175
"80","5 DE MAYO y PARRAL,SAN JUAN DE OCOTAN,Zapopan",20.6719563,-103.416501
"81","ING. ALBERTO MORA LOPEZ y CEREZA,MESA COLORADA,Zapopan",20.6719563,-103.416501
"82","ING. ALBERTO MORA LOPEZ y CEREZA,MESA COLORADA,Zapopan",20.6719563,-103.416501
"83","VICENTE GUERRERO y GALEANA,SANTA ANA TEPETITLAN,Zapopan",20.6217843,-103.4490899
"84","VOLCAN AJUSCO  y VOLCAN PICO DE ORIZABA,COLLI EL,Zapopan",20.6719563,-103.416501
"85","SANTA MERCEDES y AV. JESUS,RESIDENCIAL SANTA MARGARITA,Zapopan",20.7292407,-103.4121672
"86","AV. SANTA LUCIA y LIRIOS,PRADOS DE SANTA LUCIA,Zapopan",20.7262532,-103.3830009
"87","AV. SANTA LUCIA y CARR. A NEXTIPAC,SANTA LUCIA,Zapopan",20.7262532,-103.3830009
"88","TOMATE y ING. ALBERTO MORA LOPEZ,MESA COLORADA,Zapopan",20.6719563,-103.416501
"89","VISTA LA CAPILLA y VISTA ALTA,VISTA HERMOSA,Zapopan",20.76074,-103.3335605
"90","AV. PLAZA DEL SOL y RINCON DE LAS ACACIAS,RINCONADA DEL SOL,Zapopan",20.6719563,-103.416501
"91","PRIV. MEZQUITAN y MEZQUITAN,ARROYO HONDO,Zapopan",20.7311914,-103.3697954
"92","PARRAL y OCAMPO,SAN JUAN DE OCOTAN,Zapopan",20.6719563,-103.416501
"93","PLOMO y ANTIMONIO,SAN JOSE DEL BAJIO,Zapopan",20.7326179,-103.4038476
"94","CARR. A SALTILLO y CALZ. FEDERALISMO NORTE,ARROYO HONDO,Zapopan",20.7418401,-103.3481337
"95","AV. LOPEZ MATEOS y RINCON DE LOS AHUEHUETES,RINCONADA DEL SOL,Zapopan",20.6719563,-103.416501
"96","ROSAS y OBELISCO,GIRASOLES ELITE,Zapopan",20.7146208,-103.3819717
"97","PERIFERICO y PROL. MARIANO OTERO,MARIANO OTERO,Zapopan",20.6299807,-103.4459941
"98","PERIFERICO y PROL. MARIANO OTERO,MARIANO OTERO,Zapopan",20.6299807,-103.4459941
"99","VOLCAN PICO DE ORIZABA y VOLCAN JURULLO,COLLI EL,Zapopan",20.6719563,-103.416501
"100","SAN DANIEL  y SAN ISIDRO,CAMPANARIO EL,Zapopan",20.6719563,-103.416501
"101","RAFAEL SANZIO y AV. VALLARTA,CAMICHINES VALLARTA,Zapopan",20.6796508,-103.4289415
"102","PERIFERICO  y PROL. MARIANO OTERO,MARIANO OTERO,Zapopan",20.6299807,-103.4459941
"103","AV. ADOLFO LOPEZ MATEOS y JUSTO SIERRA,AGUA BLANCA,Zapopan",20.7499711,-103.3530306
"104","EL CAMPANARIO y SAN JOSE,CAMPANARIO EL,Zapopan",20.5936471,-103.4370388
"105","CACTUS y NOPALES,TUZANIA LA,Zapopan",20.6719563,-103.416501
"106","OYAMELES y AV. TUZANIA,TUZANIA LA,Zapopan",20.6719563,-103.416501
"107","NIQUEL y PIRITA,ARENALES TAPATIOS,Zapopan",20.6347549,-103.4633712
"108","NIQUEL y PIRITA,ARENALES TAPATIOS,Zapopan",20.6347549,-103.4633712
"109","GUANAJUATO y TLAXCALA,MANTE EL,Zapopan",20.6719563,-103.416501
"110","AV. JUAN PABLO II y PERIFERICO,UNIDAD FOVISSSTE,Zapopan",20.6719563,-103.416501
"111","HILO BLANCO y HIDALGO,AGUJAS LAS,Zapopan",20.6719563,-103.416501
"112","HILO BLANCO y HIDALGO,AGUJAS LAS,Zapopan",20.6719563,-103.416501
"113","PERIFERICO y PUERTO GUAYMAS,MIRAMAR,Zapopan",20.6386782,-103.4497318
"114","OBREROS DE CANANEA y PRIV. GRAL. SALVADOR GONZALEZ,CONSTITUCION,Zapopan",20.729735,-103.368837
"115","OBREROS DE CANANEA y PRIV. GRAL. SALVADOR GONZALEZ,CONSTITUCION,Zapopan",20.729735,-103.368837
"116","AV. JUAN PABLO II y FERNANDO ARANGUREN,PLAZA BELENES,Zapopan",20.7349694,-103.3804428
"117","LAZARO CARDENAS y PROL. HUEJOTES,LOMAS DE TABACHINES,Zapopan",20.7437497,-103.3595923
"118","ANGULO y 16 DE SEPTIEMBRE,SAN JUAN DE OCOTAN,Zapopan",20.6719563,-103.416501
"119","ANGULO y 16 DE SEPTIEMBRE,SAN JUAN DE OCOTAN,Zapopan",20.6719563,-103.416501
"120","SAN JUAN BOSCO y SAN MIGUEL OTE.,LOMAS DE SAN GONZALO,Zapopan",20.7035195,-103.4105669
"121","4a. PONIENTE y 3a. NORTE,JARDINES DE NUEVO MEXICO,Zapopan",20.7165132,-103.4021163
"122","FRANCISCO I. MADERO y MERCURIO,ARENALES TAPATIOS,Zapopan",20.6350154,-103.4604285
"123","CIRCUNVALACION NORTE y PEDRO SIMON LAPLACE,PIRAMIDES LAS,Zapopan",20.6719563,-103.416501
"124","VALLADOLID y RUPERTO SALAS,BENITO JUAREZ,Zapopan",20.7281164,-103.3420687
"125","PIÑA  y PITAHAYA,MESA COLORADA PONIENTE,Zapopan",20.7672951,-103.3372785
"126","PASEO DE LOS HUEJOTES y PASEO DE LOS TAMARINDOS,TABACHINES,Zapopan",20.7446414,-103.3612641
