Vencimiento,Autorizacion,Observaciones,Aforo,Inicio,Fin,Alcohol,Calle,Exterior,Interior,Colonia,Cruce 1,Cruce 2
26/02/2014,26/02/2014,"EVENTO POR INAGURACION  DE TIENDA DE MUEBLES EL 26 FEBRERO 2014, DE LAS 19:30 A 23:00 HRS AFORO 150 PERSONAS, ACCESO CON INVITACION, SIN COBRO DE ENTRADA, CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA Y ALTA GRADUACION, BOCADILLOS Y CONTARA CON MUSICA DE DJ PARA",150,1930,2300,1,REAL ACUEDUCTO,160,2,REAL ACUEDUCTO,PATRIA,ACUEDUCTO
27/02/2014,27/02/2014,"EVENTO EXPOSICION ARQUITECTONICA DIA 27/FEB/14, DE 21:00 A 03:00 HRS. AFORO 200 PERS. ACCESO CON INVITACION SIN COBRO, CON DEGUSTACION DE BEBIDAS ALCOHOLICAS DE ALTA Y BAJA GRADUACION Y BOCADILLOS.",200,2100,300,1,LOPEZ MATEOS ADOLFO,2040,,CHAPALITA,DOCE DE DICIEMBRE,1
28/02/2014,27/02/2014,"EVENTO COBRO DE ENTRADA PARA ZOE EN CONCIERTO LOS DIAS 27 Y 28 FEBRERO 2014, APERTURA PTAS. 19:00 HRS. EVENTO 21:00 HRS. AFORO 8800 PERSONAS, LOCALIDADES Y COSTOS P.R 422TKTS A $1,260. L.B.R. 918TKS A $1,260. L.B.A. 427TKS A $750. L.A.A. 1168TKS A $750. ",8800,1900,2100,1,PARRES ARIAS JOSE,993,"AUD,TELM",BELENES LOS,JACOBO IGNACIO,CARRANZA VENUSTIANO
28/02/2014,27/02/2014,"EVENTO FIESTA DE GRADUACION DIA 28/FEB/14, DE 20:30 A 03:00 HRS. AFORO 900 PERS. ACCESO CON INVITACION, SIN COBRO DE ENTRADA, SIN VENTA SOLO CONSUMO DE BEBIDAS ALCOHOLICAS DE ALTA Y BAJA GRADUACION Y ALIMENTOS.",900,2030,300,1,PARRES ARIAS,0,,PARQUE IND. BELENES NORTE,ANILLO PERIFERICO,1
01/03/2014,01/03/2014,"EVENTO THE IRON MAIDENS, A LLEVARSE A CABO EL DIA 01/MAR/14, PUERTAS 19:00 HRS. EVENTO DE 21:00 A 03:00 HRS.  AFORO 1000 PERS. CON COBRO DE ENTRADA SEGUN PREVENTA, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE ALTA Y BAJA GRADUACION, ALIMENTOS, SNACKS...",1000,2100,300,1,VAZQUEZ REYES HUGO ING,39,CAV,CALLE 2,PARRES ARIAS,ANILLO PERIFERICO
02/03/2014,30/01/2014,"PERMISO PARA LA DISTRIBUCION DE BOLETOS SIN COSTO PARA EL EVENTO RELIGIOSO XXXII CONGRESO DIOCESANO, A LLEVARSE A CABO LOS DIAS 01 Y 02/MAR/14, CON AFORO DE 10,000 PERSONAS.",10000,,,0,BARCENAS MARIANO,0,AUDI,AUDITORIO,CLUB ATLAS,CLUB GUADALAJARA
02/03/2014,02/03/2014,"EVENTO KERMESSE DIA 02/MAR/14, DE 10:00 A 21:00 HRS. AFORO 1500 PERS. ACCESO SIN COSTO, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA GRADUACION Y ALIMENTOS.",1500,1000,2100,1,SAN JUAN BOSCO,4265,,CHAPALITA,NI袿 OBRERO DEL,SAN JUAN BOSCO
02/03/2014,02/03/2014,"KERMESSE EL DIA 02 MARZO 2014 DE LAS 12:00 A 20.00 HRS. AFORO 1,500 PERSONAS, CON COBRO DE ENTRADA, VENTA Y CONSUMO DE BEBIDAS SIN CONTENIDO ALCOHOLICO, ALIMENTOS, HABRA MUSICA",1500,1200,2000,0,LOPEZ MATEOS SUR  ,2199,,RINCONADA DEL SOL,CUBILETE,AHUEHUETE
02/03/2014,01/03/2014,"EVENTO PELEAS DE GALLOS EL DIA 01 MARZO DE 19:00 A 03:00  HRS Y DIA 02 MARZO 2014 DE 12:00 A 03.00 HRS. AFORO 250 PERSONAS, CON COBRO DE ENTRADA, VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA Y ALTA GRADUACION, ALIMENTOS",250,1900,300,1,ALLENDE,17,,NEXTIPAC,PEREZ RITA,REFORMA
02/03/2014,02/03/2014,"EVENTO PARTIDO DE FUTBOL CHIVAS VS TIGRES EL 02 MARZO 2014 CON HORARIO DE APERTURA DE PUERTAS: 14:00HRS, EVENTO 17:00 HRS, TERMINO DEL EVENTO 19:00 HRS, DESAFORO: 21:00 HRS, AFORO PARA 42,000 PERSONAS, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE",42000,1700,1900,1,JVC,2800,"ESTA,OMNILIFE",BAJIO EL,VALLARTA,ANILLO PERIFERICO
02/03/2014,01/03/2014,"EVENTO RELIGIOSO XXXII CONGRESO DIOCESANO, A LLEVARSE A CABO LOS DIAS 01 Y 02/MAR/14, DE 07:30 A 19:30 HRS.  CON AFORO DE 10,000 PERSONAS POR DIA, ACCESO CON BOLETO GRATUITO, SIN VENTA NI CONSUMO DE BEBIDAS ALCOHOLICAS.",10000,730,1930,0,BARCENAS MARIANO,0,AUDI,AUDITORIO,CLUB ATLAS,CLUB GUADALAJARA
03/03/2014,19/02/2014,"INSTALACION DE CIRCO ATAYDE HNOS. DEL 19 FEBRERO AL 03 MARZO 2014, FUNCIONES LUNES A SABADO 18:00 Y 20:30 HRS. Y DOMINGOS 12,17 Y 19:30 HRS. AFORO 1,700 PERSONAS, COBRO DE ENTRADA, VENTA Y CONSUMO DE BEBIDAS SIN CONTENIDO ALCOHOLICO, ALIMENTOS, SNACKS",1700,1800,2030,0,LOPEZ MATEOS,0,"EXPL,SOLEI",CHAPALITA,CUBILETE,RINCON DE LOS AHUEHUETES
05/03/2014,05/03/2014,"EVENTO COBRO DE ENTRADA PARA JESUS ADRIAN ROMERO EN CONCIERTO EL 05 MARZO 2014, APERTURA PTAS. 19:00 HRS. EVENTO 21:00 HRS. AFORO 8771 PERSONAS, LOCALIDADES Y COSTOS Z.R 1339TKS A $600, Z.A. 1142TKTS A  $500, Z.C. 427TKTS A $450, Z.B. 579TKTS A $400, ",8771,1900,2100,1,PARRES ARIAS JOSE,993,"AUD,TELMEX",BELENES LOS,JACOBO IGNACIO,CARRANZA VENUSTIANO
07/03/2014,06/03/2014,"EVENTO COBRO DE ENTRADA PARA MARC ANTHONY EN CONCIERTO LOS DIAS 06.07 MARZO 2014, APERTURA PTAS. 19:00 HRS. EVENTO 21:00 HRS. AFORO 8800 PERSONAS, LOCALIDADES Y COSTOS Z.R 1339TKS A $1950. Z.A. 1594TKTS A  $1750, Z.V. 772TKTS A $1200, Z.B. 579TKTS A $1350",8800,1900,2100,1,PARRES ARIAS JOSE,993,"AUD,TELMEX",BELENES LOS,JACOBO IGNACIO,CARRANZA VENUSTIANO
07/03/2014,07/03/2014,"PARTIDO DE FUTBOL, ESTUDIANTES TECOS VS CELAYA, EL DIA 07 DE MARZO DEL 2014, A LAS 19:30 HRS, CON APERTURA DE PUERTAS A LAS 17:30 HRS,CON UN AFORO DE 2,000 PERSONAS, CON DESAFORO A LAS 22:00 HRS",2000,1930,2200,1,PATRIA,1251,,VILLA UNIVERSITARIA,CALLE NO ENCONTRADA,CALLE NO ENCONTRADA
09/03/2014,09/03/2014,"EVENTO JARIPEO BAILE EL DIA 09 MARZO 2014  DE 16:00 A 24:00 HRS. AFORO 1,500 PERSONAS, CON COBRO DE ENTRADA SEGUN PREVENTA, VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA GRADUACION, ALIMENTOS, SNACKS  Y SOUVENIRS",1500,1600,2400,1,CAPULINES,10,,SANTA LUCIA,RUVALCABA DE LA MORA JUAN MANUEL,CALLE NO ENCONTRADA
11/03/2014,11/03/2014,"EVENTO COBRO DE ENTRADA PARA MARC ANTHONY EN CONCIERTO EL 11 MARZO 2014, APERTURA PTAS. 19:00 HRS. EVENTO 21:00 HRS. AFORO 8800 PERSONAS, LOCALIDADES Y COSTOS Z.R 1339TKS A $1950, Z.A. 1594TKTS A  $1750, Z.V. 772TKTS A $1200, Z.B. 579TKTS A $1350, ",8800,1900,2100,1,PARRES ARIAS JOSE,993,"AUD,TELMEX",BELENES LOS,JACOBO IGNACIO,CARRANZA VENUSTIANO
11/03/2014,11/03/2014,"PARTIDO DE FUTBOL, ESTUDIANTES TECOS VS UDG, EL DIA 11 DE MARZO DEL 2014, A LAS 19:00 HRS, CON APERTURA DE PUERTAS A LAS 17:00 HRS,CON UN AFORO DE 5,000 PERSONAS, CON DESAFORO A LAS 22:30 HRS",5000,1700,1900,1,PATRIA,1251,CELAYA,VILLA UNIVERSITARIA,CALLE NO ENCONTRADA,CALLE NO ENCONTRADA
12/03/2014,12/03/2014,"EVENTO COBRO DE ENTRADA PARA CREEDENCE CLEARWATER REVISITED EN CONCIERTO EL 12 MARZO 2014, APERTURA PTAS. 19:00 HRS. EVENTO 21:00 HRS. AFORO 8771 PERSONAS, LOCALIDADES Y COSTOS Z.R 1339TKS A $1200, Z.A. 1142TKTS A  $1000, Z.C. 427TKTS A $900, ",8771,1900,2100,1,PARRES ARIAS JOSE,993,"A,TELMEX",BELENES LOS,JACOBO IGNACIO,CARRANZA VENUSTIANO
13/03/2014,13/03/2014,"EVENTO PRESENTACION DE REVISTA PRESS, EL DIA 13 MARZO 2014, DE LAS 20:00 A 24:00 HRS. AFORO 400 PERSONAS, SIN COBRO DE ENTRADA, SIN COBRO DE ENTRADA, ACCESO CON INVITACION, CON CONSUMO DE BEBIDAS ALCOHOLICAS DE ALTA Y BAJA GRADUACION, BOCADILLOS, CON  ",400,2000,2400,1,ACUEDUCTO,5455,,PUERTA DE HIERRO,PATRIA,ANILLO PERIFERICO
14/03/2014,13/03/2014,EVENTO CONGRESO INTERNACIONAL DE NEGOCIOS 创LOS NUEVOS PARADIGMAS DE LA COMPETITIVIDAD 创LOS DIAS 13.14 MARZO 2014 DE LAS 08:00 A 19:00 HRS. AFORO 2000 PERSONAS CON COBRO DE ENTRADA SEGUN PREVENTA,2000,800,1900,0,PATRIA,1501,,VILLA UNIVERSITARIA,NERUDA PABLO,CALLE NO ENCONTRADA
16/03/2014,20/01/2014,"PERMISO DE PREVENTA PARA EVENTO ELECTRIC PARADISE FESTIVAL DJ LOS DIAS 15 Y 16 MARZO, PREVENTA DEL 20 ENERO AL 16 MARZO 2014, AFORO 8,000 PERSONAS POR DIA, LOCALIDADES  Y COSTOS; PREVENTA EARLY BIRD ABONO PARA LOS DOS DIAS: GENERAL: $715, PREFERENTE $1100",8000,,,1,VAZQUEZ REYES HUGO ING,39,"AGRA,EXP,PLAT",CALLE 2,PARRES ARIAS,ANILLO PERIFERICO
16/03/2014,15/03/2014,"EVENTO ENTREGA DE NUMEROS Y PREMIACION DE LA CARRERA TOTAL RUNNING 2014, DIAS 15/MAR DE 08:00 A 16:00 HRS Y DIA 16/MAR/14 DE 07:00 A 13:00 HRS. AFORO 1500 P蒖S. ACCESO SIN COBRO, SIN VENTA NI CONSUMO DE BEBIDAS ALCOHOLICAS.",1500,800,1600,0,SANZIO RAFAEL,150,EST,CAMICHINES VALLARTA,VALLARTA,CALLE NO ENCONTRADA
16/03/2014,15/03/2014,"EVENTO PELEAS DE GALLOS DIAS 15.16/MAR/14, DE 12:00 A 03:00 HRS. AFORO 250 PERS. POR DIA, CON COBRO DE ENTRADA, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE ALTA Y BAJA GRADUACION Y ALIMENTOS.",250,0,300,1,ALLENDE,17,,NEXTIPAC,PEREZ RITA,REFORMA
16/03/2014,16/03/2014,"EVENTO PARTIDO DE FUTBOL CHIVAS VS LEON DIA 16 MARZO 2014 CON HORARIO DE APERTURA DE PUERTAS: 14:00HRS, EVENTO DE 17:00  A 19:00 HRS, DESAFORO: 21:00 HRS, AFORO PARA 35,000 PERSONAS, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA GRADUACION,",35000,1700,1900,1,JVC,2800,"EST,OMNILIFE",BAJIO EL,VALLARTA,ANILLO PERIFERICO
16/03/2014,03/03/2014,"PERMISO QUE MODIFICA Y SUBSTITUYE AL PERMISO DE PREVENTA NO. 200154843 PARA EVENTO ELECTRIC PARADISE FESTIVAL DJ EL 16 MARZO 2014, PREVENTA DEL 03  AL 16 MARZO 2014, AFORO 5,000 PERSONAS, LOCALIDADES  Y COSTOS; 4700TKS  DE GENERAL A $650 Y ZONA PREFERENTE",5000,,,1,VAZQUEZ REYES HUGO ING,39,"AGRA,EXP,PLAT",CALLE 2,PARRES ARIAS,ANILLO PERIFERICO
20/03/2014,20/03/2014,"EVENTO BEAT NIGHT 2, EXHIBICION Y LANZAMIENTO DE VEHICULO BMW SERIE 2, EL DIA 20 MARZO 2014, DE 20:00 A 24:00 HRS, AFORO 170 PERSONAS, SIN COBRO, ACCESO CON INVITACION, CON DEGUSTACION DE BEBIDAS ALCOHOLICAS, BOCADILLOS Y MUSICA DE DJ碨",,2000,2400,1,PATRIA,120,,REAL VALLARTA,TIZIANO,BOTICELLI
20/03/2014,20/03/2014,"EVENTO PROMOCION DE VEHICULOS FORD, DIA 20/MAR/14, DE 16:00 A 24:00 HRS. AFORO 100 PERSONAS, ACCESO CON INVITACION, SIN VENTA SOLO CONSUMO DE BEBIDAS ALCOHOLICAS DE ALTA Y BAJA GRADUACION Y BOCADILLOS, CON MUSICA AMBIENTAL.",100,1600,2400,1,VALLARTA,5500,,CAMICHINES VALLARTA,TOULOUSE LAUTREC,SANZIO RAFAEL
20/03/2014,20/03/2014,"EVENTO INAUGURACION DIA 20/MAR/14 DE 20:00 A 01:00 HRS. AFORO 100 PERSONAS, ACCESO CON INVITACION SIN COSTO, CON DEGUSTACION DE BEBIDAS ALCOHOLICAS DE ALTA Y BAJA GRADUACION Y BOCADILLOS. CON MUSICA EN VIVO PARA AMBIENTAR.",100,2000,100,1,PUERTA DE HIERRO,5278,,PUERTA DE HIERRO,EMPRESARIOS,PASEO DE LOS VIRREYES
21/03/2014,21/03/2014,"PARTIDO TECOS VS DORADOS DIA 21/MAR/14, PUERTAS 17:30 HRS. EVENTO A LAS 19:30 HRS. DESAFORO 22:00 HRS. AFORO 2000 PERSONAS. CON COBRO DE ENTRADA.",2000,1930,2200,1,PATRIA,1251,,VILLA UNIVERSITARIA,CALLE NO ENCONTRADA,CALLE NO ENCONTRADA
21/03/2014,21/03/2014,"EVENTO MAD PROFESSOR, DIA 21 MARZO 2014, DE 19:00 A 03:00 HRS. AFORO 750 PERSONAS, CON COBRO DE ENTRADA SEGUN PREVENTA, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA GRADUACION, ALIMENTOS, SNACKS Y SOUVENIRS.",750,1900,300,1,VAZQUEZ REYES HUGO ING,39,"PABE,B",CALLE 2,PARRES ARIAS,ANILLO PERIFERICO
22/03/2014,22/03/2014,"EVENTO 创BAILE NORTE袿 SALON WETERN创 DIA 22/MAR/14, DE 20:00 A 03:00 HRS. AFORO 500 PERSONAS, CON COBRO DE ENTRADA SEGUN PREVENTA CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA GRADUACION, ALIMENTOS, SNACKS Y SOUVENIRS.",500,2000,300,1,VAZQUEZ REYES HUGO ING,39,"PABE,A",CALLE 2,PARRES ARIAS,ANILLO PERIFERICO
22/03/2014,22/03/2014,"EVENTO BAILE POPULAR DIA 22/MAR/14 DE 21:00 A 03:00 HRS. AFORO 300 PERS. CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA GRADUACION, CON COBRO DE ENTRADA.",300,2100,300,1,HIDALGO,501,",",CABECERA MUNICIPAL,1,1
22/03/2014,22/03/2014,"EVENTO PELEAS DE GALLOS DIA 22/MAR/14 DE 19:00 A 03:00 HRS. AFORO 250 PERS. CON COBRO DE ENTRADA, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE ALTA Y BAJA GRADUACION Y ALIMENTOS.",250,1900,300,1,ALLENDE,17,,NEXTIPAC,REFORMA,1
22/03/2014,22/03/2014,"EVENTO POOL PARTY EL DIA 22 MARZO 2014 DE 13:30 A 19:30 HRS. AFORO 400 PERSONAS, SIN COBRO DE ENTRADA, ACCESO CON INVITACION, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA Y ALTA GRADUACION, ALIMENTOS",400,1330,1930,1,REAL ACUEDUCTO,371,,REAL ACUEDUCTO,ACUEDUCTO,PATRIA
23/03/2014,23/03/2014,"EVENTO KERMESSE EL DIA 23 MARZO 2014 DE LAS11:00 A 19:00 HRS. AFORO1,000 PERSONAS, SIN COBRO, VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA GRADUACION, ALIMENTOS",1000,1100,1900,1,MONTEMORELOS,3403,,CALMA LA,PATRIA,CRUZ DEL SUR
23/03/2014,21/03/2014,"EVENTO DELEGACIONAL FERIA DE LA PRIMAVERA Y LAS FLORES DIAS 21.22.23/MAR/14 DE 09:00 A 24:00 HRS. AFORO 2000 PERS. POR DIA, SIN COBRO DE ENTRADA, SIN VENTA NI CONSUMO DE BEBIDAS ALCOHOLICAS, CON MUSICA EN VIVO.",2000,900,2400,0,FLORES MAGON RICARDO,0,,PRIMAVERA LA,CONSTITUYENTES,1
23/03/2014,23/03/2014,"EVENTO CALIGARIS FEST 2014, DIA 23 MARZO 2014, DE 17:00 A 01:00 HRS. AFORO 1,000 PERSONAS, CON COBRO DE ENTRADA, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA GRADUACION, ALIMENTOS SNACKS Y SOUVENIRS",1000,1700,100,1,VAZQUEZ REYES HUGO ING,39,"PAB,B",CALLE 2,PARRES ARIAS,ANILLO PERIFERICO
25/03/2014,25/03/2014,"EVENTO OF MONTREAL, 25 MARZO 2014, PUERTAS 19:00 HRS. EVENTO DE 21:00 A 03:00 HRS. AFORO 1,500 PERSONAS,CON COBRO DE ENTRADA SEGUN PREVENTA, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE ALTA Y BAJA GRADUACION, ALIMENTOS, SNACKS Y SOUVENIRS.",1500,2100,300,1,VAZQUEZ REYES HUGO ING,39,"TEA,EST,CAV",CALLE 2,PARRES ARIAS,ANILLO PERIFERICO
27/03/2014,27/03/2014,"EVENTO FASHION TLAK EL DIA 27 MARZO 2014 DE 18:30 A 21:00 HRS. AFORO 35 PERSONAS,  SIN COBRO DE ENTRADA, ACCESO CON INVITACION, CON DEGUSTACION DE BEBIDAS ALCOHOLICAS, Y CANAPES, MUSICA, EL EVENTO SE DESARROLLARA EN INTERIOR Y AREA COMUN ADYACENTE AL  ",35,1830,2100,1,SANZIO RAFAEL,150,N10-11,CAMICHINES VALLARTA,VALLARTA,CALLE NO ENCONTRADA
27/03/2014,27/03/2014,"EVENTO LA VELA PUERCA Y BANDAS INVITADAS, 27/MAR/14, DE PUERTAS 19:00 HRS. EVENTO DE 20:00 A 03:00 HRS. AFORO, 250 PERSONAS, CON COBRO DE ENTRADA SEGUN PREVENTA, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA GRADUACION, ALIMENTOS, SNACKS Y SOUVENIRS.",250,2000,300,1,VAZQUEZ REYES HUGO ING,39,"PABELLON,B",CALLE 2,PARRES ARIAS,ANILLO PERIFERICO
29/03/2014,21/03/2014,"EVENTO INAGURACION Y CLAUSURA DE FESTIVAL INTERNACIONAL DE CINE EN GUADALAJARA,FICG29  LOS DIAS 21 Y 29 MARZO 2014 AFORO 1500 PERS. DE 22:00 A 04:00 HRS ACCESO CON INVITACION, SIN COBRO DE ENTRADA, ACCESO CON BOLETO GRATUITO, CON DEGUSTACION DE BEBIDAS ",1500,2200,400,0,PARRES ARIAS,0,"PLAZA,BICENTENA",PARQUE IND. BELENES NORTE,ANILLO PERIFERICO,CALLE NO ENCONTRADA
30/03/2014,25/03/2014,"EVENTO TORNEO DE TENIS ZURICH JALISCO OPEN, DEL 25 AL 30 MARZO 2014, DE 08:00 A 23:00 HRS. AFORO 1,800 PERSONAS POR DIA, CON COBRO DE ENTRADA SEGUN PREVENTA, VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA GRADUACION ALIMENTOS, SNACKS Y SOUVENIRS",1800,800,2300,1,ECONOMOS,6600,"COM,PANAMERICAN",ESTANCIA LA,CALLE NO ENCONTRADA,CALLE NO ENCONTRADA
30/03/2014,30/03/2014,"EVENTO PARTIDO DE FUTBOL CHIVAS VS AMERICA DIA 30/MAR/14 CON HORARIO DE APERTURA DE PUERTAS: 16:00HRS, EVENTO 19:00 A 21:00 HRS, DESAFORO: 23:00 HRS, AFORO PARA 44,000 PERSONAS, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE",44000,1900,2100,1,JVC,2800,"EST,OMNILIFE",BAJIO EL,VALLARTA,ANILLO PERIFERICO
30/03/2014,29/03/2014,"EVENTO ENTREGA DE NUMEROS Y ENTREGA DE RECONOMICIENTOS DE LA CARRERA CORRE SIN LIMITES, DIAS 29 Y 30/MAR/14, RESPECTIVAMENTE, CON HORARIOS: DIA 29 DE 12:00 A 20:00 HRS. Y DIA 30 DE 06:30 A 12:00 HRS. CON AFORO DE 3000 PERS. ",3000,1200,2000,0,PALOMAR Y ARIAS JUAN,0,,CIUDAD UNIVERSITARIA,NACIONES UNIDAS,1
30/03/2014,30/03/2014,"EVENTO SHOW BULLY ATOMIC DOGG MEXICO DIA 30/MAR/14, DE 10:00 A 20:00 HRS. AFORO 1300 PERS. CON COBRO DE ENTRADA SEGUN PREVENTA, CON VENTA Y CONSUMO DE BEBIDAS ALCOHOLICAS DE BAJA GRADUACION, ALIMENTOS, SNACKS Y SOUVENIRS.",1300,1000,2000,1,COLOTLAN,4,KM,SANTA LUCIA,1,1
30/03/2014,30/03/2014,"EVENTO COBRO DE ENTRADA PARA VIDEO GAMES LIVE, EL 30 MARZO 2014, APERTURA PTAS. 18:30 HRS. EVENTO 20:30 HRS. AFORO 8747 PERSONAS, LOCALIDADES Y COSTOS Z.R 1339TKS A $1500, Z.A. 1568TKTS A  $1250,  Z.B. 579TKTS A $980,",8747,1830,2030,0,PARRES ARIAS JOSE,993,"AUDI,TELMEX",BELENES LOS,JACOBO IGNACIO,CARRANZA VENUSTIANO
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
