"","fecha2","calle","cruce","colonia","delito","diaSem","mes","lat","lon"
"35",2014-01-02,"RIO BLANCO","AV. SAN MATEO","PARQUES DE TESISTAN","VIOLACION LEY GENERAL DE SALUD","Thurs",1,20.7955238,-103.4938467
"36",2014-01-02,"LAS FLORES","PLATANARES","LOMAS DE TABACHINES","ROBO CASA HABITACION","Thurs",1,20.7475348,-103.3604673
"37",2014-01-02,"AV. MARIANO OTERO","AV. PLAZA DEL SOL","PLAZA DEL SOL","ROBO NEGOCIO CON SEGURIDAD PRIVADA","Thurs",1,20.6504581,-103.3992177
"38",2014-01-02,"3a. PRIV. PARRAL","PARRAL","SAN JUAN DE OCOTAN","VIOLACION LEY GENERAL DE SALUD","Thurs",1,20.7041707,-103.4518823
"39",2014-01-02,"PARRAL","PRIV. PARRAL","SAN JUAN DE OCOTAN","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Thurs",1,20.7059379,-103.450983
"40",2014-01-02,"PARRAL","PRIV. PARRAL","SAN JUAN DE OCOTAN","CONSUMIR ESTUPEFACIENTES, PSICOTROPICOS O INHALAR TOXICOS EN V.P.","Thurs",1,20.7059379,-103.450983
"41",2014-01-02,"ARCO DECIO","ARCO DE TITO","ARCOS DE ZAPOPAN","VIOLACION LEY GENERAL DE SALUD","Thurs",1,20.7411499,-103.409278
"42",2014-01-02,"RAFAEL ROBLES GALVEZ","ZAPOTLAN","BENITO JUAREZ","VIOLACION LEY GENERAL DE SALUD","Thurs",1,20.736324,-103.3392697
"43",2014-01-02,"AV. DEL TESORO","AV. TABACHINES","LOMA BONITA EJIDAL","QUEBRANTAMIENTO DE SELLOS","Thurs",1,20.6186914,-103.404379
"44",2014-01-02,"BELENES","LAZARO CARDENAS","VENTA DEL ASTILLERO LA","VIOLACION LEY GENERAL DE SALUD","Thurs",1,20.6719563,-103.416501
"45",2014-01-02,"GINEBRA","DIORITA","VALLE DE LOS MOLINOS","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Thurs",1,20.7147984,-103.3738819
"46",2014-01-02,"CONSTITUYENTES","GRAL. MANUEL M. DIEGUEZ","CONSTITUCION","VIOLACION LEY GENERAL DE SALUD","Thurs",1,20.7303192,-103.3699556
"47",2014-01-02,"OCAMPO","HIDALGO ","SAN JUAN DE OCOTAN","CONSUMIR ESTUPEFACIENTES, PSICOTROPICOS O INHALAR TOXICOS EN V.P.","Thurs",1,20.7084981,-103.4575394
"48",2014-01-02,"SARA BERTHA DE LA TORRE","SALVADOR REYES","PASEOS DEL SOL","VIOLACION LEY GENERAL DE SALUD","Thurs",1,20.6356117,-103.4270892
"49",2014-01-02,"SAN SILVESTRE","LUCIO BLANCO ","ROBERTO OROZCO","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Thurs",1,20.8033538,-103.4824749
"50",2014-01-02,"2a. PONIENTE","8a. SUR","NUEVO MEXICO","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Thurs",1,20.7291348,-103.3996208
"51",2014-01-02,"RAFAEL SANZIO","AV. VALLARTA","CAMICHINES VALLARTA","ROBO NEGOCIO CON SEGURIDAD PRIVADA","Thurs",1,20.6778076,-103.4292093
"52",2014-01-02,"ATOTONILCO","BELENES","BENITO JUAREZ","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Thurs",1,20.7313294,-103.3415051
"53",2014-01-02,"QUIRINO RIVERA","JACINTO PEÑA","VILLAS DE GUADALUPE","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Thurs",1,20.7545467,-103.3500936
"54",2014-01-02,"CAMINO NACIONAL","PRIV. EJIDO","SANTA ANA TEPETITLAN","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Thurs",1,20.626842,-103.44705
"55",2014-01-02,"AV. AVIACION","OCAMPO","SAN JUAN DE OCOTAN","TENTATIVA DE ROBO CASA HABITACION","Thurs",1,20.6719563,-103.416501
"56",2014-01-02,"CAMINO A LA PIEDRERA","CAMINO A LAS MESITAS","AMPLIACION SANTA LUCIA","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Thurs",1,20.7262532,-103.3830009
"57",2014-01-02,"CAMINO A LA PIEDRERA","CAMINO A LAS MESITAS","AMPLIACION SANTA LUCIA","VIOLACION LEY GENERAL DE SALUD","Thurs",1,20.7262532,-103.3830009
"58",2014-01-02,"PALOMA","VENUSTIANO CARRANZA","VALLE DE NUEVO MEXICO","VIOLACION LEY GENERAL DE SALUD","Thurs",1,20.7605607,-103.3924805
"59",2014-01-02,"LIC. SILVANO BARBA GONZALEZ","AND. NTE. 3","CONJUNTO LAURELES","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Thurs",1,20.7330311,-103.3872506
"60",2014-01-02,"JOSE MARIA MARTINEZ","PIPILA","MARTINICA LA","ARMAS Y OBJETOS PROHIBIDOS","Thurs",1,20.7449715,-103.3650884
"61",2014-01-02,"AV. TEPEYAC","AV. DE LA PATRIA","MIRADOR DEL SOL","DETENIDO VEHICULO CON IRREGULARIDADES","Thurs",1,20.6559913,-103.4218557
"62",2014-01-03,"ANAHUAC","SAN FRANCISCO DE SALES","SAN ISIDRO EJIDAL","ALTERAR LA TRANQUILIDAD O EL ORDEN PUBLICO","Fri",1,20.7279393,-103.3950227
