IdColonia,IdInegi,NomColonia,Habitantes,Mujeres,Hombres,Pob0a14,Pob15a64,Pob18mas,ViviendasHabitadas,PromOcuxVivHab,Fundacion,ColinNorte,ColinSur,ColinOriente,ColinPoniente,ArroyoEntubado,ArroyoInterperie,Cerro,Barranco,CentroCultural,ParquesyJarines,JuegosInfantiles,PlazaCivica,CalleAlumbrado%,CallePavimento%,CalleAdoquin%,CalleEmpedrado%,CalleTerraceria%,VivAguaPot%,VivDrenaje%,VivFosaSep%,VivElectricidad%,RutasTransporte,OficinaCorreo,RegistroCivil,DeleAgencia,Cementerio,ModuloPoli,PatrullasColonia,PlumaIngresos,PobRelCatolica%,CP,ZonaC,Sele
65,294-I,Centro (Cabecera),9309,4908,4297,2050,6273,6795,2948,3.1600000000000001,1541,"Jardines del Vigía, La Villa","Unidad República, Santa Fe","Tepeyac, Hospital San Juan de Dios, El Capullo","San Isidro Ejidal, San Francisco",FALSO,FALSO,FALSO,FALSO,-Inexistente- El Instituto Municipal de la Cultura se encuentra en la colonia La Huerta.,FALSO,FALSO,FALSO,100,50,45,5,0,97,97.80000305,0,98.80000305,"13, 15, 24,24-A, 70, 190, 275-E, 275, 170 B, 172, 190-A,  631, 631-A, 633, 635, 634, Tur, 19, 19-A, 162, 161, 160, 164.","Oficina Nº 45101 ""Básilica de Zapopan"", Moctezuma Nº 167, 3636 2600","Oficialía 1, Unidad Admtva. “Basílica”, tel. 38182200 ext. 1680 y 1681, Lun-Vie de 09:00-18:00 hrs., sábados de 09:00-15:00 hrs., domingos de 10:00-13:00 hrs., Lic. Víctor Juan Uribe Macedo, Lic. Edgardo Torres Duran, Lic. Ana Cecilia Sánchez Núñez",-Inexistente-,"Cementerio Cabecera Municipal, Pedro Moreno s/n entre Sarcófago y Santa Lucía",FALSO,FALSO,FALSO,97,45100,1A,0
66,050-J,"Cerritos, Los",811,408,409,0,0,0,201,4.03,,Rinconada del Auditorio,Villas del Marquez,Benito Juárez,Jardines del Auditorio,FALSO,FALSO,FALSO,FALSO,-Inexistente-,VERDADERO,FALSO,FALSO,100,5,90,5,0,89.09999847,98,0,98.5,"50. El 52-, 52-D, 636-A, 275-F pasan por la carretera a Saltillo.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,96,45180,RN,1
67,051-D,Cerro de la Higuera,51,21,30,26,24,22,10,5.1,Sin datos,La Higuera,Miguel Hidalgo,La Hiuguera,Villas de Guadalupe,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,20,0,0,20,80,70,60,30,90,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,78,,2B,1
68,053-C,Chapalita de Occidente,1018,539,479,174,759,788,320,3.9399999999999999,1943,Guadalupe Jardín,Villas del Tepeyac,Rinconada del Valle,Guadalupe Jardín,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,99.30000305,98.09999847,0,98.90000153,51 y 632,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,94,45030,5A,0
69,054-H,Chapalita Las Fuentes,1310,640,670,250,991,982,401,3.6200000000000001,,Guadalupe Jardín,Chapalita de Occidente,Atlas Chapalita,Rinconada Guadalupe,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,98.40000153,99.5,0,99.19999695,"51-D, 51 A, B Tepeyac y Turqueza.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,94,45030,5A,0
70,055-B,Chapalita Oriente,1348,711,635,261,892,1024,522,3.9199999999999999,1943,Jardines de San Ignacio,Chapalita Sur,Municipio de Guadalajara,Ciudad de los Niños,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,96.30000305,97.59999847,0,99.80000305,Línea Turqueza,"Oficina Nº 45042"", Av. Tepeyac Nº 802, 3121 4004","Oficialía No. 3, Aurora No. 105 (arriba de la oficina de Telégrafos). Tel. 31219078, oficial Lic. Ana Gabriela Mora Casián.",-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,95,45040,5A,0
71,0,Chapalita Inn,3487,1822,1665,795,2570,2505,1251,3.6800000000000002,,Guadalupe Inn,Bellavista,"Condominio Las Cumbres, La Castilla",La Gloria,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,100,0,0,0,100,100,0,100,"25, 59 y 249.",-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,45010,5A,0
72,056-G,Chapalita Sur,2077,1141,932,346,1388,1655,794,3.73,1943,Chapalita Oriente,Ciudad del Sol,Municipio de Guadalajara,Ciudad del Sol,FALSO,FALSO,FALSO,FALSO,"Vasarley ""Foro de Arte y de Cultura"", calle Santa María No. 258, Tel. 3070 1458",FALSO,FALSO,FALSO,100,100,0,0,0,98.59999847,98.30000305,0,99.5,"51, 300, 640, 24, 101, 258d, y Turqueza.",-Inexistente-,- Inexistente -,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,95,45040,6,0
73,0,"Charco, El",0,0,0,0,0,0,0,0,,,Miramar,Miramar,Paraìsos del Colli,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,100,0,0,100,0,100,100,0,100,,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,,7,0
74,0,"Chicalote, el",0,0,0,0,0,0,0,0,,La Gloria,Paraísos del Colli,,La Gloria,FALSO,FALSO,FALSO,FALSO,-Inexistente-,FALSO,FALSO,FALSO,0,0,0,0,0,0,0,0,0,,-Inexistente-,-Inexistente-,-Inexistente-,-Inexistente-,FALSO,FALSO,FALSO,0,,5A,0
