"","address","lat","lon"
"68","AV. ADOLFO LOPEZ MATEOS,FUERA DEL MUNICIPIO,Zapopan",20.6719563,-103.416501
"69","SERBIA,LOMA BLANCA,Zapopan",20.7149247,-103.3885011
"70","SANTA LAURA,SANTA MARGARITA,Zapopan",20.725752,-103.4103047
"71","LIC. FELIX PALAVICINI,CONSTITUCION,Zapopan",20.7307649,-103.3612148
"72","PROL. MARIANO OTERO,ARENALES TAPATIOS,Zapopan",20.6284851,-103.4571451
"73","EJIDO DEL COLLI,VOLCAN DEL COLLI,Zapopan",20.6646023,-103.4574163
"74","RAFAEL VEGA SANCHEZ,CONSTITUCION,Zapopan",20.7288519,-103.3662088
"75","AV. DE LA PATRIA,PLAZA ANDARES,Zapopan",20.7104951,-103.412672
"76","QUIRIGUA,GUSTAVO DIAZ ORDAZ,Zapopan",20.6205631,-103.4214354
"77","HIDALGO,SAN JUAN DE OCOTAN,Zapopan",20.7039952,-103.4530878
"78","HIDALGO,SAN JUAN DE OCOTAN,Zapopan",20.7039952,-103.4530878
"79","AV. SAN CRISTOBAL MAGALLANES,LOMAS DE SAN GONZALO,Zapopan",20.7060443,-103.4109175
"80","5 DE MAYO,SAN JUAN DE OCOTAN,Zapopan",20.7115989,-103.450317
"81","ING. ALBERTO MORA LOPEZ,MESA COLORADA,Zapopan",20.7642929,-103.3382192
"82","ING. ALBERTO MORA LOPEZ,MESA COLORADA,Zapopan",20.7642929,-103.3382192
"83","VICENTE GUERRERO,SANTA ANA TEPETITLAN,Zapopan",20.6236109,-103.4535971
"84","VOLCAN AJUSCO ,COLLI EL,Zapopan",20.6440676,-103.4294099
"85","SANTA MERCEDES,RESIDENCIAL SANTA MARGARITA,Zapopan",20.7352746,-103.4216393
"86","AV. SANTA LUCIA,PRADOS DE SANTA LUCIA,Zapopan",20.7262532,-103.3830009
"87","AV. SANTA LUCIA,SANTA LUCIA,Zapopan",20.7262532,-103.3830009
"88","TOMATE,MESA COLORADA,Zapopan",20.767414,-103.344092
"89","VISTA LA CAPILLA,VISTA HERMOSA,Zapopan",21.118425,-101.6612766
"90","AV. PLAZA DEL SOL,RINCONADA DEL SOL,Zapopan",20.6521658,-103.4007313
"91","PRIV. MEZQUITAN,ARROYO HONDO,Zapopan",20.7399934,-103.3542533
"92","PARRAL,SAN JUAN DE OCOTAN,Zapopan",20.7059379,-103.450983
"93","PLOMO,SAN JOSE DEL BAJIO,Zapopan",20.73317,-103.4043953
"94","CARR. A SALTILLO,ARROYO HONDO,Zapopan",20.7408195,-103.344966
"95","AV. LOPEZ MATEOS,RINCONADA DEL SOL,Zapopan",20.658283,-103.3981867
"96","ROSAS,GIRASOLES ELITE,Zapopan",20.740521,-103.4225941
"97","PERIFERICO,MARIANO OTERO,Zapopan",20.6306877,-103.4360547
"98","PERIFERICO,MARIANO OTERO,Zapopan",20.6306877,-103.4360547
"99","VOLCAN PICO DE ORIZABA,COLLI EL,Zapopan",20.6432304,-103.426965
"100","SAN DANIEL ,CAMPANARIO EL,Zapopan",20.5904205,-103.4354488
"101","RAFAEL SANZIO,CAMICHINES VALLARTA,Zapopan",20.6778076,-103.4292093
"102","PERIFERICO ,MARIANO OTERO,Zapopan",20.6306877,-103.4360547
"103","AV. ADOLFO LOPEZ MATEOS,AGUA BLANCA,Zapopan",20.6313821,-103.4158532
"104","EL CAMPANARIO,CAMPANARIO EL,Zapopan",20.5936471,-103.4370388
"105","CACTUS,TUZANIA LA,Zapopan",20.7378864,-103.4146758
"106","OYAMELES,TUZANIA LA,Zapopan",20.7380408,-103.415141
"107","NIQUEL,ARENALES TAPATIOS,Zapopan",20.6364805,-103.4633269
"108","NIQUEL,ARENALES TAPATIOS,Zapopan",20.6364805,-103.4633269
"109","GUANAJUATO,MANTE EL,Zapopan",20.6062112,-103.4213415
"110","AV. JUAN PABLO II,UNIDAD FOVISSSTE,Zapopan",20.6921461,-103.3099425
"111","HILO BLANCO,AGUJAS LAS,Zapopan",20.7962046,-103.4870256
"112","HILO BLANCO,AGUJAS LAS,Zapopan",20.7962046,-103.4870256
"113","PERIFERICO,MIRAMAR,Zapopan",20.638923,-103.439499
"114","OBREROS DE CANANEA,CONSTITUCION,Zapopan",20.7310741,-103.3690464
"115","OBREROS DE CANANEA,CONSTITUCION,Zapopan",20.7310741,-103.3690464
"116","AV. JUAN PABLO II,PLAZA BELENES,Zapopan",20.7349694,-103.3804428
"117","LAZARO CARDENAS,LOMAS DE TABACHINES,Zapopan",20.7511826,-103.3581273
"118","ANGULO,SAN JUAN DE OCOTAN,Zapopan",20.7131485,-103.452506
"119","ANGULO,SAN JUAN DE OCOTAN,Zapopan",20.7131485,-103.452506
"120","SAN JUAN BOSCO,LOMAS DE SAN GONZALO,Zapopan",20.7035195,-103.4105669
"121","4a. PONIENTE,JARDINES DE NUEVO MEXICO,Zapopan",20.7291348,-103.3996208
"122","FRANCISCO I. MADERO,ARENALES TAPATIOS,Zapopan",20.6292253,-103.4552577
"123","CIRCUNVALACION NORTE,PIRAMIDES LAS,Zapopan",20.6272405,-103.4325886
"124","VALLADOLID,BENITO JUAREZ,Zapopan",20.7293677,-103.3420705
"125","PIÑA ,MESA COLORADA PONIENTE,Zapopan",20.7649177,-103.3386033
"126","PASEO DE LOS HUEJOTES,TABACHINES,Zapopan",20.7437497,-103.3595923
"127","PIPILA,TABACHINES,Zapopan",20.745971,-103.3653559
"128","PERIFERICO,BENITO JUAREZ,Zapopan",20.7386905,-103.3799337
"129","PLAN DE AYALA,DIVISION DEL NORTE,Zapopan",20.7333038,-103.353913
"130","RAFAEL VEGA SANCHEZ,CONSTITUCION,Zapopan",20.7288519,-103.3662088
"131","SANTA ANA,SANTA MARGARITA,Zapopan",20.7285855,-103.4105846
"132","OCAMPO,SAN JUAN DE OCOTAN,Zapopan",20.7084981,-103.4575394
"133","PUERTO MEXICO,MIRAMAR,Zapopan",20.6404409,-103.4527419
"134","EVA BRISEÑO,CABECERA MUNICIPAL,Zapopan",20.7365639,-103.3700158
"135","GUELATAO,BENITO JUAREZ,Zapopan",20.7348733,-103.3407753
"136","PRIV. MANZANOS,LOMAS DE TABACHINES,Zapopan",20.74693,-103.3563939
"137","16 DE SEPTIEMBRE,CABECERA MUNICIPAL,Zapopan",20.7365639,-103.3700158
"138","MANUEL GARCIA,VENTA DEL ASTILLERO LA,Zapopan",20.7166667,-103.4
"139","FRANCISCO VILLA ,SANTA ANA TEPETITLAN,Zapopan",20.6233222,-103.4602776
"140","FRANCISCO VILLA,SANTA ANA TEPETITLAN,Zapopan",20.6233222,-103.4602776
"141","PRIV. MONTES DE OCA,LOMAS DE TABACHINES,Zapopan",20.7479408,-103.3601728
"142","INDEPENDENCIA,SAN JUAN DE OCOTAN,Zapopan",20.7121949,-103.4539872
"143","OCAMPO,SAN JUAN DE OCOTAN,Zapopan",20.7084981,-103.4575394
"144","PROL. AV. TEPEYAC,JARDINES DEL IXTEPETE,Zapopan",20.6206499,-103.4180072
"145","PROL. AV. TEPEYAC,JARDINES DEL IXTEPETE,Zapopan",20.6206499,-103.4180072
"146","PROL. AV. GUADALUPE,BALCONES DEL SOL,Zapopan",20.6206499,-103.4180072
"147","AV. INDIGENA,MESA COLORADA,Zapopan",20.7706612,-103.3460919
"148","ALVARO OBREGON,BATAN EL,Zapopan",20.723629,-103.3413062
"149","ALVARO OBREGON,BATAN EL,Zapopan",20.723629,-103.3413062
"150","SOR JUANA INES DE LA CRUZ,CORONILLA LA,Zapopan",20.7617015,-103.3279101
"151","AV. CONCHITA,LOMA BONITA,Zapopan",20.637488,-103.4039666
"152","AV. ADOLFO LOPEZ MATEOS,CALMA LA,Zapopan",20.6350807,-103.4135025
"153","RAUL ARELLANO,PASEOS DEL SOL,Zapopan",20.6331469,-103.4309603
"154","CUITLAHUAC,CABECERA MUNICIPAL,Zapopan",20.7365639,-103.3700158
"155","CUITLAHUAC,CABECERA MUNICIPAL,Zapopan",20.7365639,-103.3700158
